command,Vm
4.7942,-18.5437
4.80371,-18.4625
4.81322,-18.3187
4.82274,-18.3438
4.83225,-18.375
4.84177,-18.3187
4.85128,-18.3875
4.86079,-18.3187
4.87031,-18.2687
4.87982,-18.2
4.88933,-18.3062
4.89885,-18.1125
4.90836,-18.1938
4.91787,-18.1875
4.92738,-18.1
4.9369,-18.0812
4.94641,-18.1938
4.95592,-18.2
4.96544,-18.1
4.97495,-18.1
4.98446,-18.1875
4.99397,-18.1562
5.00349,-18.2188
5.013,-18.225
5.02251,-18.2125
5.03202,-18.3625
5.04154,-18.2312
5.05105,-18.3125
5.06056,-18.2875
5.07007,-18.175
5.07959,-18.2188
5.0891,-18.1812
5.09861,-18.2
5.10812,-18.2875
5.11763,-18.0688
5.12715,-18.1812
5.13666,-18.0812
5.14617,-18.1
5.15568,-18.1125
5.16519,-18.0125
5.1747,-18.0438
5.18422,-17.9125
5.19373,-18.0187
5.20324,-18.0562
5.21275,-17.9437
5.22226,-18.025
5.23177,-17.9312
5.24128,-17.9
5.25079,-17.8875
5.26031,-17.8875
5.26982,-18.0125
5.27933,-17.8562
5.28884,-17.8562
5.29835,-17.775
5.30786,-17.9
5.31737,-17.7125
5.32688,-17.7812
5.33639,-17.5812
5.3459,-17.65
5.35541,-17.6437
5.36492,-17.7812
5.37443,-17.5
5.38394,-17.6688
5.39345,-17.6562
5.40297,-17.8375
5.41247,-17.7
5.42198,-17.8875
5.4315,-17.6812
5.441,-17.7812
5.45052,-17.8375
5.46002,-17.7188
5.46953,-17.7687
5.47904,-17.7875
5.48855,-17.7062
5.49806,-17.7875
5.50757,-17.8312
5.51708,-17.7062
5.52659,-17.7563
5.5361,-17.7062
5.54561,-17.6062
5.55512,-17.7125
5.56463,-17.7625
5.57414,-17.725
5.58365,-17.7563
5.59316,-17.6625
5.60266,-17.8188
5.61217,-17.9
5.62168,-17.7188
5.63119,-17.7062
5.6407,-17.7563
5.65021,-17.775
5.65972,-17.7125
5.66922,-17.8813
5.67873,-17.7375
5.68824,-17.9
5.69775,-17.775
5.70726,-17.9813
5.71677,-17.7875
5.72627,-17.8937
5.73578,-17.875
5.74529,-17.9
5.7548,-18.0875
5.76431,-17.95
5.77381,-17.875
5.78332,-17.9625
5.79283,-17.85
5.80234,-17.8438
5.81184,-17.9125
5.82135,-17.8937
5.83086,-17.8438
5.84037,-17.8937
5.84987,-17.8312
5.85938,-17.6875
5.86889,-17.7875
5.87839,-17.6125
5.8879,-17.825
5.89741,-17.7437
5.90691,-17.875
5.91642,-17.8
5.92593,-17.7375
5.93543,-17.8375
5.94494,-17.8062
5.95445,-17.8188
5.96395,-17.8125
5.97346,-17.875
5.98297,-17.8312
5.99247,-17.9375
6.00198,-17.875
6.01149,-17.8562
6.02099,-17.7
6.0305,-17.7563
6.04,-17.8312
6.04951,-17.725
6.05901,-17.7687
6.06852,-17.7188
6.07803,-17.7937
6.08753,-17.8188
6.09704,-17.8375
6.10654,-17.7125
6.11605,-17.8312
6.12555,-17.8188
6.13506,-17.75
6.14456,-17.9375
6.15407,-17.7
6.16357,-17.8687
6.17308,-17.9437
6.18258,-17.85
6.19209,-18.0062
6.20159,-17.9
6.2111,-17.8
6.2206,-17.8937
6.23011,-17.8438
6.23961,-17.8188
6.24911,-17.8
6.25862,-17.85
6.26812,-17.8562
6.27763,-17.775
6.28713,-17.8062
6.29664,-17.7625
6.30614,-17.8
6.31564,-17.9437
6.32515,-17.9312
6.33465,-18.0562
6.34415,-17.9375
6.35366,-17.9187
6.36316,-17.8687
6.37267,-18.0062
6.38217,-18.0688
6.39167,-17.9937
6.40118,-17.9187
6.41068,-18.0438
6.42018,-17.8687
6.42968,-17.875
6.43919,-17.8375
6.44869,-17.9625
6.45819,-17.7875
6.4677,-17.8
6.4772,-17.8
6.4867,-17.8937
6.4962,-17.85
6.5057,-17.8562
6.51521,-17.95
6.52471,-17.9312
6.53421,-17.925
6.54371,-18.1
6.55322,-18
6.56272,-18.2
6.57222,-18.0875
6.58172,-18.1687
6.59122,-18.0938
6.60073,-18.0187
6.61023,-18.0312
6.61973,-18.0562
6.62923,-17.9
6.63873,-17.925
6.64823,-17.9625
6.65773,-18.0062
6.66724,-17.925
6.67674,-17.85
6.68624,-17.9062
6.69574,-17.8875
6.70524,-17.8937
6.71474,-17.9813
6.72424,-18.1313
6.73374,-18.0125
6.74324,-18.0562
6.75274,-18.025
6.76224,-18.0062
6.77174,-18.1125
6.78124,-18.1
6.79074,-17.925
6.80024,-17.9813
6.80974,-18.0812
6.81924,-18.0062
6.82874,-18.0312
6.83824,-18.1062
6.84774,-18.1313
6.85724,-18.0375
6.86674,-18
6.87624,-18.0062
6.88574,-18.0812
6.89524,-17.975
6.90474,-18.1687
6.91424,-18.1187
6.92374,-18.2
6.93324,-18.15
6.94274,-18.1313
6.95224,-18.1687
6.96173,-18.0812
6.97123,-18.075
6.98073,-18.2437
6.99023,-18.0688
6.99973,-18.3062
7.00923,-18.1375
7.01873,-17.9875
7.02822,-18.2437
7.03772,-18.15
7.04722,-18.1187
7.05672,-18.1437
7.06622,-18.15
7.07571,-17.9562
7.08521,-18.0688
7.09471,-18.2
7.10421,-18.0438
7.11371,-18.175
7.1232,-18.3
7.1327,-18.15
7.1422,-18.2875
7.15169,-18.225
7.16119,-18.275
7.17069,-18.3
7.18019,-18.2
7.18968,-18.3875
7.19918,-18.2938
7.20868,-18.3563
7.21817,-18.275
7.22767,-18.4375
7.23717,-18.1562
7.24666,-18.1625
7.25616,-18.3
7.26565,-18.1062
7.27515,-18.1625
7.28465,-18.0125
7.29414,-18.1687
7.30364,-18.0438
7.31313,-18.225
7.32263,-18.0312
7.33213,-18.1625
7.34162,-18.3
7.35112,-18.1
7.36061,-18.1875
7.37011,-18.275
7.3796,-18.225
7.3891,-18.2625
7.39859,-18.4062
7.40809,-18.15
7.41758,-18.1938
7.42708,-18.2562
7.43657,-18.2437
7.44607,-18.2
7.45556,-18
7.46506,-18.1625
7.47455,-18.1
7.48405,-17.9562
7.49354,-18.075
7.50303,-18.1187
7.51253,-18.0688
7.52202,-18.1938
7.53152,-18.2
7.54101,-18.0688
7.5505,-18.2687
7.56,-18.1938
7.56949,-18.2
7.57899,-18.4125
7.58848,-18.4312
7.59797,-18.225
7.60747,-18.3687
7.61696,-18.3875
7.62645,-18.3687
7.63594,-18.4375
7.64544,-18.375
7.65493,-18.2312
7.66442,-18.1938
7.67392,-18.3187
7.68341,-18.3312
7.6929,-18.2687
7.70239,-18.3438
7.71189,-18.2812
7.72138,-18.3125
7.73087,-18.3062
7.74036,-18.275
7.74985,-18.2938
7.75935,-18.2938
7.76884,-18.3
7.77833,-18.35
7.78782,-18.3062
7.79731,-18.4
7.8068,-18.2938
7.8163,-18.3125
7.82579,-18.3
7.83528,-18.3062
7.84477,-18.325
7.85426,-18.3
7.86375,-18.3125
7.87324,-18.175
7.88273,-18.2188
7.89222,-18.1938
7.90171,-18.1375
7.9112,-18.2188
7.92069,-18.1875
7.93019,-18.1562
7.93968,-18.05
7.94917,-18.0375
7.95866,-18.0062
7.96814,-18.1687
7.97764,-18.0062
7.98712,-18.0625
7.99661,-18.0375
8.0061,-17.9375
8.01559,-17.9875
8.02508,-17.8625
8.03457,-17.9312
8.04406,-17.8937
8.05355,-17.9875
8.06304,-17.8438
8.07253,-17.9813
8.08202,-17.8312
8.09151,-18
8.101,-17.8312
8.11048,-17.7437
8.11997,-17.8438
8.12946,-17.775
8.13895,-17.95
8.14844,-17.7062
8.15793,-17.8
8.16741,-17.875
8.1769,-17.8062
8.18639,-17.7563
8.19588,-17.6937
8.20537,-17.8312
8.21485,-17.8
8.22434,-17.7188
8.23383,-17.9
8.24331,-17.6688
8.2528,-17.65
8.26229,-17.7188
8.27178,-17.8
8.28126,-17.8
8.29075,-17.7125
8.30024,-17.6875
8.30972,-17.6437
8.31921,-17.6062
8.3287,-17.6437
8.33818,-17.6
8.34767,-17.6625
8.35715,-17.6875
8.36664,-17.6688
8.37613,-17.6312
8.38561,-17.6312
8.3951,-17.6187
8.40458,-17.6812
8.41407,-17.7
8.42356,-17.7937
8.43304,-17.6562
8.44253,-17.7937
8.45201,-17.6062
8.4615,-17.8625
8.47098,-17.6437
8.48047,-17.6562
8.48995,-17.5125
8.49944,-17.5375
8.50892,-17.4937
8.51841,-17.4688
8.52789,-17.45
8.53738,-17.4
8.54686,-17.4312
8.55634,-17.4125
8.56583,-17.4188
8.57531,-17.3375
8.5848,-17.4625
8.59428,-17.3375
8.60376,-17.4312
8.61325,-17.5375
8.62273,-17.4188
8.63221,-17.4875
8.6417,-17.3687
8.65118,-17.525
8.66066,-17.3
8.67015,-17.3375
8.67963,-17.1625
8.68911,-17.2812
8.6986,-17.3312
8.70808,-17.1437
8.71756,-17.1625
8.72704,-17.3812
8.73653,-17.3125
8.74601,-17.275
8.75549,-17.1687
8.76497,-17.1313
8.77445,-17.1375
8.78394,-17.2312
8.79342,-17.3125
8.8029,-17.2687
8.81238,-17.2062
8.82186,-17.1375
8.83134,-17.1375
8.84083,-17.1063
8.85031,-17.2375
8.85979,-17.0625
8.86927,-17.2312
8.87875,-17.1687
8.88823,-17.15
8.89771,-16.9375
8.90719,-17.125
8.91667,-16.975
8.92615,-16.9812
8.93563,-16.9625
8.94511,-16.8813
8.95459,-16.95
8.96407,-16.9187
8.97355,-16.9
8.98303,-16.8
8.99251,-16.7875
9.00199,-16.7125
9.01147,-16.8125
9.02095,-16.7875
9.03043,-16.7313
9.03991,-16.7313
9.04939,-16.6875
9.05887,-16.5562
9.06835,-16.5938
9.07782,-16.7313
9.0873,-16.5812
9.09678,-16.6062
9.10626,-16.55
9.11574,-16.475
9.12522,-16.5312
9.1347,-16.3875
9.14417,-16.5312
9.15365,-16.5063
9.16313,-16.4125
9.17261,-16.2312
9.18209,-16.3375
9.19156,-16.2437
9.20104,-16.2437
9.21052,-16.2375
9.21999,-16.3
9.22947,-16.275
9.23895,-16.3
9.24843,-16.1312
9.2579,-16.2563
9.26738,-16.15
9.27686,-16.1812
9.28633,-16.1437
9.29581,-16.1125
9.30528,-15.9937
9.31476,-16.0063
9.32424,-15.9937
9.33371,-15.95
9.34319,-15.825
9.35266,-15.8375
9.36214,-15.7188
9.37162,-15.9312
9.38109,-15.9
9.39057,-15.6562
9.40004,-15.8
9.40952,-15.675
9.41899,-15.5562
9.42847,-15.7188
9.43794,-15.6812
9.44742,-15.7125
9.45689,-15.6938
9.46637,-15.7625
9.47584,-15.5625
9.48532,-15.7562
9.49479,-15.6
9.50426,-15.6313
9.51374,-15.7812
9.52321,-15.5875
9.53268,-15.5687
9.54216,-15.5687
9.55163,-15.5125
9.56111,-15.6125
9.57058,-15.4625
9.58005,-15.5687
9.58953,-15.5125
9.599,-15.6938
9.60847,-15.5438
9.61794,-15.7
9.62742,-15.7125
9.63689,-15.6938
9.64636,-15.6375
9.65583,-15.7
9.66531,-15.5438
9.67478,-15.4938
9.68425,-15.475
9.69372,-15.525
9.70319,-15.25
9.71267,-15.3875
9.72214,-15.325
9.73161,-15.175
9.74108,-15.2063
9.75055,-15.25
9.76002,-15.025
9.7695,-14.7875
9.77896,-14.9812
9.78844,-15
9.79791,-15.0938
9.80738,-15.0375
9.81685,-15.1
9.82632,-15.3062
9.83579,-15.2625
9.84526,-15.1875
9.85473,-15.0875
9.8642,-15.0938
9.87367,-15.2688
9.88314,-14.9812
9.89261,-15.05
9.90208,-15.1
9.91155,-14.9437
9.92102,-14.9188
9.93049,-14.9937
9.93995,-14.8312
9.94942,-14.9812
9.95889,-15
9.96836,-14.925
9.97783,-14.8187
9.9873,-14.7875
9.99677,-14.8438
10.0062,-15.025
10.0157,-14.7687
10.0252,-14.9437
10.0346,-14.9812
10.0441,-14.9188
10.0536,-14.9625
10.063,-14.9125
10.0725,-14.8562
10.082,-14.7312
10.0914,-14.9188
10.1009,-14.7312
10.1104,-14.6312
10.1198,-14.7312
10.1293,-14.6625
10.1388,-14.6312
10.1482,-14.5
10.1577,-14.5437
10.1672,-14.5563
10.1766,-14.6938
10.1861,-14.6312
10.1956,-14.55
10.205,-14.6
10.2145,-14.6687
10.224,-14.5312
10.2334,-14.4375
10.2429,-14.5
10.2524,-14.525
10.2618,-14.4562
10.2713,-14.3562
10.2808,-14.4
10.2902,-14.4375
10.2997,-14.4062
10.3092,-14.2188
10.3186,-14.4312
10.3281,-14.4375
10.3376,-14.475
10.347,-14.3938
10.3565,-14.3813
10.3659,-14.4438
10.3754,-14.4938
10.3849,-14.5875
10.3943,-14.5813
10.4038,-14.4375
10.4133,-14.5125
10.4227,-14.6687
10.4322,-14.425
10.4417,-14.4438
10.4511,-14.6
10.4606,-14.5125
10.47,-14.4125
10.4795,-14.2
10.489,-14.1562
10.4984,-14.0875
10.5079,-14.1
10.5174,-13.9625
10.5268,-13.9313
10.5363,-14.1062
10.5457,-14.0312
10.5552,-14.0125
10.5647,-14.1437
10.5741,-13.975
10.5836,-13.9062
10.593,-14.0188
10.6025,-14.1
10.612,-13.9
10.6214,-14.0062
10.6309,-14.0062
10.6404,-13.9437
10.6498,-13.9
10.6593,-14.075
10.6687,-13.9688
10.6782,-14.0437
10.6877,-13.8312
10.6971,-13.9
10.7066,-13.8188
10.716,-13.8688
10.7255,-13.675
10.735,-13.7937
10.7444,-13.7312
10.7539,-13.6875
10.7633,-13.6312
10.7728,-13.5563
10.7822,-13.675
10.7917,-13.5375
10.8012,-13.6562
10.8106,-13.7125
10.8201,-13.4937
10.8295,-13.6062
10.839,-13.5
10.8485,-13.6625
10.8579,-13.525
10.8674,-13.4875
10.8768,-13.5125
10.8863,-13.5
10.8957,-13.4687
10.9052,-13.5875
10.9147,-13.4187
10.9241,-13.4
10.9336,-13.4
10.943,-13.45
10.9525,-13.3375
10.9619,-13.3375
10.9714,-13.3938
10.9809,-13.4375
10.9903,-13.5
10.9998,-13.55
11.0092,-13.3812
11.0187,-13.3875
11.0281,-13.4062
11.0376,-13.4125
11.047,-13.2562
11.0565,-13.4375
11.066,-13.4625
11.0754,-13.4312
11.0849,-13.4812
11.0943,-13.3875
11.1038,-13.25
11.1132,-13.4687
11.1227,-13.425
11.1321,-13.3375
11.1416,-13.1375
11.151,-13.35
11.1605,-13.3687
11.1699,-13.1875
11.1794,-13.2375
11.1889,-13.4062
11.1983,-13.4312
11.2078,-13.4
11.2172,-13.4937
11.2267,-13.4062
11.2361,-13.4125
11.2456,-13.4
11.255,-13.3812
11.2645,-13.3187
11.2739,-13.4812
11.2834,-13.2438
11.2928,-13.1562
11.3023,-13.1125
11.3117,-12.3625
11.3212,-10.0375
11.3306,-7.5875
11.3401,-5.54375
11.3495,-4.39375
11.359,-3.88125
11.3684,-3.83125
11.3779,-4.13125
11.3874,-4.7
11.3968,-5.4125
11.4063,-6.3
11.4157,-6.73125
11.4252,-7.3
11.4346,-7.83125
11.4441,-8.33125
11.4535,-8.7
11.463,-9.05625
11.4724,-9.24375
11.4819,-9.4875
11.4913,-9.7375
11.5008,-9.74375
11.5102,-10.15
11.5196,-10.2125
11.5291,-10.3
11.5385,-10.4375
11.548,-10.3625
11.5574,-10.5375
11.5669,-10.7687
11.5763,-10.75
11.5858,-10.9125
11.5952,-11.0125
11.6047,-10.8875
11.6141,-11.1375
11.6236,-11.2312
11.633,-11.2563
11.6425,-11.4563
11.6519,-11.5062
11.6614,-11.5125
11.6708,-11.5937
11.6803,-11.775
11.6897,-11.6125
11.6992,-11.5437
11.7086,-11.575
11.718,-11.3812
11.7275,-10.5312
11.7369,-8.55625
11.7464,-6.2375
11.7558,-4.4
11.7653,-3.15625
11.7747,-2.4875
11.7842,-2.19375
11.7936,-2.175
11.8031,-2.29375
11.8125,-2.60625
11.8219,-3.1
11.8314,-3.63125
11.8408,-4.3
11.8503,-4.80625
11.8597,-5.41875
11.8692,-5.975
11.8786,-6.38125
11.8881,-6.76875
11.8975,-7.01875
11.9069,-7.4375
11.9164,-7.63125
11.9258,-8.03125
11.9353,-8.125
11.9447,-8.2
11.9542,-8.48125
11.9636,-8.775
11.973,-8.9
11.9825,-9.1
11.9919,-9.1375
12.0014,-9.3625
12.0108,-9.7
12.0203,-9.8125
12.0297,-9.89375
12.0391,-10.0063
12.0486,-10.1
12.058,-10.15
12.0675,-10.3
12.0769,-10.4062
12.0863,-10.475
12.0958,-10.5312
12.1052,-10.6062
12.1147,-10.4875
12.1241,-10.0688
12.1336,-8.4625
12.143,-6.51875
12.1524,-4.44375
12.1619,-3.33125
12.1713,-2.45625
12.1808,-1.89375
12.1902,-1.475
12.1996,-1.425
12.2091,-1.39375
12.2185,-1.73125
12.228,-2.025
12.2374,-2.25
12.2468,-2.7625
12.2563,-3.20625
12.2657,-3.6875
12.2751,-4.3125
12.2846,-4.53125
12.294,-5.0625
12.3035,-5.49375
12.3129,-5.70625
12.3223,-5.9875
12.3318,-6.41875
12.3412,-6.5
12.3506,-6.80625
12.3601,-7.09375
12.3695,-7.3875
12.379,-7.4875
12.3884,-7.78125
12.3978,-7.93125
12.4073,-8.14375
12.4167,-8.4125
12.4261,-8.7125
12.4356,-8.875
12.445,-8.85
12.4544,-9.06875
12.4639,-9.25625
12.4733,-9.55
12.4828,-9.575
12.4922,-9.71875
12.5016,-9.73125
12.5111,-9.925
12.5205,-9.85
12.5299,-9.95625
12.5394,-10.2313
12.5488,-10.175
12.5582,-10.3313
12.5677,-10.3
12.5771,-10.5188
12.5865,-10.5
12.596,-10.7062
12.6054,-10.6938
12.6148,-10.8125
12.6243,-10.8687
12.6337,-11.0063
12.6431,-10.95
12.6526,-10.9687
12.662,-11.1562
12.6714,-11.0563
12.6809,-11.1438
12.6903,-11.2063
12.6997,-11.1125
12.7092,-11.2875
12.7186,-11.4
12.728,-11.3188
12.7375,-11.2812
12.7469,-11.4437
12.7563,-11.5875
12.7657,-11.4437
12.7752,-11.7
12.7846,-11.6375
12.794,-11.5312
12.8035,-11.5937
12.8129,-11.7
12.8223,-11.7188
12.8318,-11.8562
12.8412,-11.8125
12.8506,-11.8938
12.86,-11.9562
12.8695,-11.8375
